,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue id,Venue Category
904,75036,33.14931365,-96.89679945,Goody Goody Liquor,33.16974701791306,-96.88822917578551,4b22bde7f964a520bb4c24e3,Liquor Store
781,75034,33.1626066,-96.865905,Sake Toro,33.151499361404746,-96.83489457769464,4b22d70ff964a5208f4e24e3,Japanese Restaurant
172,75024,33.071913,-96.8242602,Victoria's Secret,33.099632169701216,-96.81078550273972,4b298eebf964a520dfa024e3,Lingerie Store
106,75024,33.071913,-96.8242602,Dallas/Plano Marriott at Legacy Town Center,33.074513273529114,-96.82220937301634,4b29baccf964a520f4a224e3,Hotel
151,75024,33.071913,-96.8242602,Stonebriar Country Club,33.09163143472558,-96.84386014938354,4b2a75ebf964a5209da924e3,Golf Course
586,75093,33.0399256979855,-96.8096675872968,Kroger,33.04759423928853,-96.83198601007462,4b2ba12cf964a52073b824e3,Supermarket
1092,75069,33.165171,-96.629944,BJ's Restaurant & Brewhouse,33.12743624907741,-96.66025240935681,4b2c270bf964a520bbc224e3,American Restaurant
1119,75070,33.1787952119977,-96.6810031311438,Starbucks,33.198417370207984,-96.70696031620317,4b2d6a7cf964a52035d624e3,Coffee Shop
1171,75070,33.1787952119977,-96.6810031311438,7-Eleven,33.1981885,-96.6813325,4b2d7625f964a52035d724e3,Convenience Store
368,75074,33.022388,-96.699102,Jason's Deli,33.01392239116761,-96.7092706130286,4b2fb715f964a52077ee24e3,Deli / Bodega
126,75024,33.071913,-96.8242602,RA Sushi Bar Restaurant,33.08001276906518,-96.82299972460174,4b3002b2f964a52062f424e3,Sushi Restaurant
1212,75071,33.2324328,-96.6718598,Hobby Lobby,33.2188504,-96.6562055,4b3020b0f964a5208bf624e3,Fabric Shop
257,75025,33.0875339911856,-96.7446683423545,Starbucks,33.05684241939428,-96.77187505925352,4b317a3cf964a520a60725e3,Coffee Shop
1032,75069,33.165171,-96.629944,Massage Envy - Eldorado Parkway,33.174639,-96.64357,4b3183ebf964a520450825e3,Spa
415,75075,33.025501943712,-96.7440978471312,El Norte Grill,33.04137,-96.73621,4b326294f964a5202e0a25e3,Mexican Restaurant
60,75023,33.014132,-96.6931235,Bavarian Grill,33.04023199101641,-96.7059694378303,4b36b92ff964a520573b25e3,German Restaurant
501,75093,33.0399256979855,-96.8096675872968,Gleneagles Country Club,33.028857533047066,-96.80974111714022,4b36f400f964a5208f3e25e3,Golf Course
1084,75069,33.165171,-96.629944,JCPenney,33.131343,-96.6479771,4b37d991f964a5206d4725e3,Department Store
1045,75069,33.165171,-96.629944,El Fenix,33.16547606946093,-96.64383794486471,4b37f148f964a520094925e3,Mexican Restaurant
316,75074,33.022388,-96.699102,Country Burger,33.01779756309312,-96.68783848935331,4b39173ef964a520f25525e3,Burger Joint
130,75024,33.071913,-96.8242602,Village Burger Bar,33.07774324295588,-96.8195278319339,4b3b95adf964a5205d7625e3,Burger Joint
117,75024,33.071913,-96.8242602,Potbelly Sandwich Shop,33.078403,-96.819931,4b3bab1ff964a5206b7825e3,Sandwich Place
1347,75072,33.1915366265987,-96.7545488535702,Starbucks,33.17287564388141,-96.7335287658691,4b3cc7d0f964a520358725e3,Coffee Shop
373,75074,33.022388,-96.699102,Dairy Queen,33.030615198070585,-96.69953229175758,4b3cf74cf964a520b88a25e3,Fast Food Restaurant
842,75035,33.1406759763169,-96.778205234649,TruFire Kitchen & Bar,33.121927802299,-96.82447916698104,4b3eaf7df964a520caa025e3,Italian Restaurant
